day,coefficient_name,coefficient_value,rep_var,target,replicate,temperature,nutrients,composition,theta,sample_ID
46.6,∂D/∂C,0.29502106943579187,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
48.88,∂D/∂C,0.36877912762894616,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
51.16,∂D/∂C,0.3518600292619363,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
53.44,∂D/∂C,0.29251131776213285,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
55.72,∂D/∂C,0.18710141638250474,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
58,∂D/∂C,0.115983274734235,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
0,∂D/∂C,0.013362205773068977,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
1,∂D/∂C,NA,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
3.28,∂D/∂C,-0.33203511508262873,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
5.56,∂D/∂C,-0.7114703111768432,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
7.84,∂D/∂C,1.0674455879319784,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
10.12,∂D/∂C,1.1639531684257387,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
12.4,∂D/∂C,-1.8760929759700895,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
14.68,∂D/∂C,-4.214869995395639,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
16.96,∂D/∂C,-1.5828389953575717,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
19.24,∂D/∂C,9.72498758283443,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
21.52,∂D/∂C,11.113426394255812,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
23.8,∂D/∂C,-1.033036810653774,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
26.08,∂D/∂C,-2.329453884562799,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
28.36,∂D/∂C,-0.1485259921291124,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
30.64,∂D/∂C,-1.3698209249193392,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
32.92,∂D/∂C,4.846370298906615,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
35.2,∂D/∂C,0.1261662046742192,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
37.48,∂D/∂C,0.9410790065065647,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
39.76,∂D/∂C,1.6561643012059273,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
42.04,∂D/∂C,-1.2049412444339622,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
44.32,∂D/∂C,0.04469456081163795,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
46.6,∂D/∂C,0.9001417265687827,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
48.88,∂D/∂C,0.8113115541527276,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
51.16,∂D/∂C,1.088570885938649,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
53.44,∂D/∂C,1.176826415271007,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
55.72,∂D/∂C,1.0013659880753218,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
58,∂D/∂C,0.7148053448227203,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
0,∂D/∂C,0.08362406983741953,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_2
1,∂D/∂C,NA,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
3.28,∂D/∂C,-0.3499450331646364,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
5.56,∂D/∂C,-0.5523265764512962,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
7.84,∂D/∂C,-3.9480490291731827,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
10.12,∂D/∂C,0.6572753888214391,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
12.4,∂D/∂C,6.55699291349624,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
14.68,∂D/∂C,9.008205526243055,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
16.96,∂D/∂C,-1.2029963118825433,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
19.24,∂D/∂C,-0.2742670564828101,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
21.52,∂D/∂C,-2.8745173202327488,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
23.8,∂D/∂C,-0.044069440505017377,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
26.08,∂D/∂C,-0.9412909633167735,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
28.36,∂D/∂C,0.9017268402574783,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
30.64,∂D/∂C,0.2725867719225313,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
32.92,∂D/∂C,2.9626401944414833,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
35.2,∂D/∂C,0.7321819093181643,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
37.48,∂D/∂C,1.0713557999933347,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
39.76,∂D/∂C,2.6848113798373503,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
42.04,∂D/∂C,1.9411110869911865,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
44.32,∂D/∂C,0.30694468280589376,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
46.6,∂D/∂C,1.5999096969968662,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
48.88,∂D/∂C,0.8062569532053088,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
51.16,∂D/∂C,1.2037797560838654,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
53.44,∂D/∂C,1.1860988908184746,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
55.72,∂D/∂C,0.9012205556727859,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
58,∂D/∂C,0.6303469663723859,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
60.28,∂D/∂C,-0.21182444264327788,CD_Tmp_18_21_Nut0.35,D,3,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_3
1,∂C/∂D,NA,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
3.28,∂C/∂D,-0.03996169363162523,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
5.56,∂C/∂D,0.12547035520955746,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
7.84,∂C/∂D,0.14241571590158422,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
10.12,∂C/∂D,-0.03195531267453091,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
12.4,∂C/∂D,0.01169277811849855,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
14.68,∂C/∂D,-0.0231403818135407,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
16.96,∂C/∂D,-0.01231276461415417,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
19.24,∂C/∂D,-0.02695345224531939,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
21.52,∂C/∂D,-0.002699927528808582,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
23.8,∂C/∂D,-0.03440009326098379,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
26.08,∂C/∂D,-0.008354844477671809,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
28.36,∂C/∂D,-0.02121837151105121,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
30.64,∂C/∂D,-0.019803457547415016,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
32.92,∂C/∂D,-0.02666174177070388,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
35.2,∂C/∂D,-0.03698230826379053,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
37.48,∂C/∂D,-0.04135074377730186,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
39.76,∂C/∂D,-0.21813364079275796,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
42.04,∂C/∂D,-0.09890572819811529,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
44.32,∂C/∂D,-0.1362353365272611,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
46.6,∂C/∂D,-0.1775942998900416,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
48.88,∂C/∂D,-0.2045697595771061,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
51.16,∂C/∂D,-0.20379512781196127,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
53.44,∂C/∂D,-0.17433167123531784,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
55.72,∂C/∂D,-0.12392738421433638,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
58,∂C/∂D,-0.07685475174604585,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
0,∂C/∂D,-0.019836889102574876,CD_Tmp_22_25_Nut0.35,C,1,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_1
1,∂C/∂D,NA,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
3.28,∂C/∂D,-0.14219423640453088,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
5.56,∂C/∂D,0.265756809178108,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
7.84,∂C/∂D,-0.5409308943516276,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
10.12,∂C/∂D,0.07584878417247583,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
12.4,∂C/∂D,-0.02523139031310255,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
14.68,∂C/∂D,-0.038028219808049414,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
16.96,∂C/∂D,-0.004968557791320391,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
19.24,∂C/∂D,-0.010267800809381477,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
21.52,∂C/∂D,-0.028551180979548303,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
23.8,∂C/∂D,0.004923357841827267,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
26.08,∂C/∂D,0.0024455152775939002,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
28.36,∂C/∂D,0.005795071737880428,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
30.64,∂C/∂D,0.008757975044807931,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
32.92,∂C/∂D,0.010565546538802515,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
35.2,∂C/∂D,0.008332384214984131,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
37.48,∂C/∂D,-0.012219406484809937,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
39.76,∂C/∂D,-0.06895516649468128,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
42.04,∂C/∂D,-0.1533989364111452,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
44.32,∂C/∂D,-0.3448926639156116,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
46.6,∂C/∂D,-0.616646225493728,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
48.88,∂C/∂D,-0.7481557423844343,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
51.16,∂C/∂D,-0.653377672440753,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
53.44,∂C/∂D,-0.407998968162752,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
55.72,∂C/∂D,-0.1609015532813549,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
58,∂C/∂D,0.02937697896111871,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
0,∂C/∂D,0.2457486264024151,CD_Tmp_22_25_Nut0.35,C,2,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_2
1,∂C/∂D,NA,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
3.28,∂C/∂D,-0.1855283426211983,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
5.56,∂C/∂D,0.20330263573156188,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
7.84,∂C/∂D,-0.1025626068761909,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
10.12,∂C/∂D,-0.023556907944078265,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
12.4,∂C/∂D,-3.534942900795663e-4,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
14.68,∂C/∂D,-0.019031675173998456,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
16.96,∂C/∂D,0.02679025902729004,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
19.24,∂C/∂D,-0.02218359398032807,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
21.52,∂C/∂D,-0.033828955050685866,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
23.8,∂C/∂D,-0.033449167257398875,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
26.08,∂C/∂D,-0.00856408652328677,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
28.36,∂C/∂D,-0.0028311822326539137,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
30.64,∂C/∂D,-0.013004072312186594,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
32.92,∂C/∂D,-0.021685445230960707,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
35.2,∂C/∂D,-0.031638318607919436,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
37.48,∂C/∂D,-0.04726033170509857,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
39.76,∂C/∂D,-0.07033638634771534,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
42.04,∂C/∂D,-0.10177413362081181,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
44.32,∂C/∂D,-0.14840458498398837,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
46.6,∂C/∂D,-0.19233561933437865,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
48.88,∂C/∂D,-0.20197350366136055,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
51.16,∂C/∂D,-0.17046715441781218,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
53.44,∂C/∂D,-0.10736572496894632,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
55.72,∂C/∂D,-0.03860495946006271,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
58,∂C/∂D,0.03137395056510187,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
60.28,∂C/∂D,0.05888379187725029,CD_Tmp_22_25_Nut0.35,C,3,22-25,0.35,CD,var,CD_Tmp_22_25_Nut0.35_3
1,∂C/∂D,NA,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
3.28,∂C/∂D,0.530208727686591,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
5.56,∂C/∂D,0.23377435273622718,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
7.84,∂C/∂D,-0.12157590974761706,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
10.12,∂C/∂D,-0.08298507602322908,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
12.4,∂C/∂D,-0.0012685353553822248,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
14.68,∂C/∂D,0.001745428513606262,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
16.96,∂C/∂D,0.0029480429819299103,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
19.24,∂C/∂D,-3.276621922237988e-4,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
21.52,∂C/∂D,0.0017352154793638386,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
23.8,∂C/∂D,0.007704502501749477,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
26.08,∂C/∂D,-5.811755103744543e-4,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
28.36,∂C/∂D,5.798850615154616e-4,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
30.64,∂C/∂D,0.018698879706392058,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
32.92,∂C/∂D,0.0029777694252586806,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
35.2,∂C/∂D,-0.0018197613302430582,CD_Tmp_25_28_Nut0.35,C,1,25-28,0.35,CD,var,CD_Tmp_25_28_Nut0.35_1
